Event,Date,Time,Venue,City,State,Genre,Sub-Genre,Segment,Performer,Min Price,Max Price,Sales Status,On-Sale Date,Promoter,Ticket URL
Los Angeles Dodgers vs. Colorado Rockies,2025-04-16,19:10:00,Dodger Stadium,Los Angeles,California,Baseball,MLB,Sports,Los Angeles Dodgers,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-o9
Hamilton (NY),2025-04-17,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-17-2025/event/Z1r9uZrrZbpZ1Ave_oU
Harry Potter and the Cursed Child,2025-04-17,19:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6xK
Hamilton (Touring),2025-04-17,19:30:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpO7
Hamilton (Touring),2025-04-17,13:00:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpOF
Hamilton,2025-04-17,19:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7ok0z
Tampa Bay Rays vs. New York Yankees,2025-04-17,19:05:00,George M. Steinbrenner Field,Tampa,Florida,Baseball,MLB,Sports,Tampa Bay Rays,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-uV
Harry Potter and the Cursed Child - Parts 1 & 2 Fri 14:00 & 19:00,2025-04-18,14:00:00,Palace Theatre,London,Unknown,Theatre,Drama,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,2024-08-29T10:00:00Z,Not Listed,https://theatre.ticketmaster.co.uk/book/17YYA-harry-potter-and-the-cursed-child/#perf=17YYA-64Y&date=2025-04-18&time=2.00PM
Hamilton (NY),2025-04-18,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-18-2025/event/Z1r9uZrrZbpZ1Ave_fz
Harry Potter and the Cursed Child,2025-04-18,19:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6xf
Hamilton (Touring),2025-04-18,20:00:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpOd
Hamilton,2025-04-18,19:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7ok0y
Texas Rangers vs. Los Angeles Dodgers,2025-04-18,19:05:00,Globe Life Field,Arlington,Texas,Baseball,MLB,Sports,Texas Rangers,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-7p
Tampa Bay Rays vs. New York Yankees,2025-04-18,19:05:00,George M. Steinbrenner Field,Tampa,Florida,Baseball,MLB,Sports,Tampa Bay Rays,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-ug
New York Yankees vs. Cleveland Guardians,2025-06-05,19:05:00,Yankee Stadium,Bronx,New York,Baseball,MLB,Sports,New York Yankees,10.0,410.0,onsale,2024-09-13T14:00:00Z,MLB REGULAR SEASON,https://www.ticketmaster.com/new-york-yankees-vs-cleveland-guardians-bronx-new-york-06-05-2025/event/1D00611CAB154DE4
Tucson Roadrunners vs. Colorado Eagles,2025-04-19,19:00:00,Tucson Arena,Tucson,Arizona,Hockey,AHL,Sports,Tucson Roadrunners,25.0,88.0,onsale,2024-09-11T17:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/tucson-roadrunners-vs-colorado-eagles-tucson-arizona-04-19-2025/event/190060FAD1EE4268
Harry Potter and the Cursed Child - Parts 1 & 2 Sat 14:00 & 19:00,2025-04-19,14:00:00,Palace Theatre,London,Unknown,Theatre,Drama,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,2024-08-29T10:00:00Z,Not Listed,https://theatre.ticketmaster.co.uk/book/17YYA-harry-potter-and-the-cursed-child/#perf=17YYA-650&date=2025-04-19&time=2.00PM
Hamilton (NY),2025-04-19,13:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-19-2025/event/Z1r9uZrrZbpZ1Ave_4g
Hamilton (NY),2025-04-19,19:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-19-2025/event/Z1r9uZrrZbpZ1Ave_fy
Harry Potter and the Cursed Child,2025-04-19,14:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6x4
Harry Potter and the Cursed Child,2025-04-19,20:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6xp
Hamilton (Touring),2025-04-19,20:00:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpO6
Hamilton (Touring),2025-04-19,14:00:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpOe
Hamilton,2025-04-19,19:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7okPZ
Hamilton,2025-04-19,13:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7okPv
Texas Rangers vs. Los Angeles Dodgers,2025-04-19,15:05:00,Globe Life Field,Arlington,Texas,Baseball,MLB,Sports,Texas Rangers,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-79
Tampa Bay Rays vs. New York Yankees,2025-04-19,16:10:00,George M. Steinbrenner Field,Tampa,Florida,Baseball,MLB,Sports,Tampa Bay Rays,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-uU
V-U2 An Immersive Concert Film at Sphere Las Vegas,2025-04-20,19:00:00,Sphere,Las Vegas,Nevada,Spectacular,Spectacular,Arts & Theatre,V-U2 An Immersive Concert Film at Sphere Las Vegas,78.0,173.0,onsale,2024-12-10T18:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-04-20-2025/event/170061841144448F
Harry Potter and the Cursed Child - Parts 1 & 2 Sun 13:00 & 18:00,2025-04-20,13:00:00,Palace Theatre,London,Unknown,Theatre,Drama,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,2024-08-29T10:00:00Z,Not Listed,https://theatre.ticketmaster.co.uk/book/17YYA-harry-potter-and-the-cursed-child/#perf=17YYA-652&date=2025-04-20&time=1.00PM
Hamilton (NY),2025-04-20,13:00:00,Richard Rodgers Theatre,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,2024-08-01T14:00:00Z,NEDERLANDER PRODUCTIONS,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-04-20-2025/event/Z1r9uZrrZbpZ1Ave_4U
Harry Potter and the Cursed Child,2025-04-20,14:00:00,Lyric Theatre - NY,New York,New York,Performance Art,Performance Art,Arts & Theatre,Harry Potter and the Cursed Child (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7C6x9
Hamilton (Touring),2025-04-20,13:00:00,Saenger Theatre-New Orleans,New Orleans,Louisiana,Theatre,Musical,Arts & Theatre,Hamilton (Touring),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7kpOA
Hamilton,2025-04-20,13:00:00,Richard Rodgers Theatre-NY,New York,New York,Theatre,Musical,Arts & Theatre,Hamilton (NY),48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7okPe
Texas Rangers vs. Los Angeles Dodgers,2025-04-20,13:35:00,Globe Life Field,Arlington,Texas,Baseball,MLB,Sports,Texas Rangers,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-7b
Tampa Bay Rays vs. New York Yankees,2025-04-20,13:40:00,George M. Steinbrenner Field,Tampa,Florida,Baseball,MLB,Sports,Tampa Bay Rays,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7u-uM
V-U2 An Immersive Concert Film at Sphere Las Vegas,2025-04-21,19:00:00,Sphere,Las Vegas,Nevada,Spectacular,Spectacular,Arts & Theatre,V-U2 An Immersive Concert Film at Sphere Las Vegas,78.0,173.0,onsale,2024-12-10T18:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/vu2-an-immersive-concert-film-at-las-vegas-nevada-04-21-2025/event/170061841144449C
Cleveland Guardians vs. New York Yankees,2025-04-21,18:10:00,Progressive Field,Cleveland,Ohio,Baseball,MLB,Sports,Cleveland Guardians,48.0,389.0,onsale,1900-01-01T18:00:00Z,Not Listed,https://www.ticketmaster.com/event/Z7r9jZ1A7uOqF
Hamilton (Touring),2025-04-22,19:30:00,Soldiers and Sailors Memorial Auditorium,Chattanooga,Tennessee,Theatre,Musical,Arts & Theatre,Hamilton (Touring),65.0,169.0,onsale,2024-12-09T15:00:00Z,PROMOTED BY VENUE,https://www.ticketmaster.com/hamilton-touring-chattanooga-tennessee-04-22-2025/event/1B0061599B8B7F2F
